job_title,skills
UX·UI디자이너,"전략, UI, UX/UI 디자인, UI/UX 디자인, 기획, 인공지능, 디자인 역량, 사용자 경험(UI/UX) 디자인, 시안디자인능력, 디자인, UIUX 디자인능력, UX"
가구 제조·수리원,"가구 수리, 가구 조립, 가구 생산, 붙박이장 생산, 조립능력, 가구제조, 가구 제조 기술, 수작업, 생산력능력, 목제품 제조, PUR에지 가공, 생산능력"
가스·에너지공학 기술자 및 연구원,"기술자료 분석 및 해석, R&D 연구과제 수행"
가전제품 설치·수리원,"가전제품 설치, 수리 역량"
가축 사육 종사원,"농장 관리, 축산업 관련 역량, 축산 관리, 가축 관리 기술, 사육 관리능력, 근면성실함, 가축 관리, 축산 단순 업무, 한우 사육 관리, 축산업 지식, 가축 사육, 양돈 경험, 양돈업, 양돈"
간호사,"회복실 관리, 스케쥴 관리 및 조정, 의료 기기 사용, 전문 간호사능력, 육아휴직, 노인 의료 복지, 간호 업무, 의료 윤리, 나이트 전담 간호, 의료 서비스, 의료 역량, 스케쥴 관리, 의료 및 간호 기술, 환자경험관리, 방문간호, 병동간호사, 응급 처치, 조산사, 간호 관리, 요양센터 관리능력, 간호사능력, 커뮤니케이션, 진단 검사, 간호사 면허증 소지, 응급 처치능력, 건강검진, 산전 후 휴가, 간호학, 환자 상담, 응급처치능력, 소통 능력, 업무적응 능력, 병동간호 역량, 의료윤리, 조산역량, 문제 해결, 의료 서비스 관련 역량, 상용직전환 검토, 신규간호사 교육, 업무수행 능력, 일반 간호사, 병동, 의료 기술, 전담간호, 환자 간호, 4대 보험, 취업규칙 준수, 간호업무, 환자 간호능력, 요양, 무관 역량, 면접 수행능력, 환자 응대, 의료 기록 관리, 의료지식, 내시경, 교대 근무 역량, 의료 업무 수행, 재활, 의료 지식, 간호능력, 응급처치, 커뮤니케이션능력, 경력, 노인전문간호, 간호 기술, 근무태도, 의료기록관리, 감염 관리, 치매전문 요양, 인내심, 간호 역량"
간호조무사,"간호기술, 의료 기기 사용, 환자 관리, 협력적 태도, 진료준비, 의료업무, 의료 서비스, 의료 역량, 환자간호, 건물 내 경사로, 응급 처치, 어르신 간호업무, 음료제공(차, 의료진료보조, 산전후 관리, 커뮤니케이션, 환자관리, 입원환자 케어, 장애인 화장실, 의료기기 사용, 병동 나이트킵, I.V 관리, 의사소통능력, 무관, 감정적안정, 의료진료능력, 의료윤리, 진료 어시스트, 의료기기 사용능력, 환자안정화, 수술실 업무 경험, 의료 관련 역량, 약물투여, 기구세척, 간호, 의료, 간호보조, 주사, 정리, 환자 간호, 의료지원, 의료서비스, 의료기록 관리, 의료용어이해, 커피), 병동 간호, 의료기술, 무관 역량, 자격증 필수, 의료 지식, 의료지식, 내시경, 의료 기록 관리, 응급처치, 간호 기술, 의료 협력, 의료기록관리, 직무능력 향상교육, 의료기기사용, 교육능력, 간호 역량"
건설 배관공,"상하수배관 공사, 옥내급수관 공사, 기계설비 공사능력, 위생 배관 공사"
건설·광업 기계 설치·정비원,"건설기계 정비, 건설·광업용 기계 설치, 지게차 관리 및 정비"
건설·채굴 기계 운전원,"오퍼레이터능력, 덤프운전, 불도저 운전, 건설·채굴 기계 운전능력, 덤프트럭 운전, TBM기 조작, 불도저운전, 도로포장기 운전, 크랏샤 운전 역량, 도로포장기운전, 건설 장비 운전 역량, TBM기조작, 그래브준설선 운전, 시추장비 조작, 시추장비조작, 도로정지기, 쇄석기 운전 기술, 건설 기계 운전 기술, 그래브준설선운전, 운전 기술, TBM 기조작, 중간처리 설비 원격 제어 기술"
건설·채굴관리자,"안전관리, 광업 생산, 토목관련 관리, 철구조물 관리, 건설관련 관리, 건설관리, 채광관리"
건설·채굴단순종사원,"외국어(영어) 소통능력, 목공, 보조공, 건설현장교통신호수, 건설업 기술, 타워크레인수신호원, 안전 규정 준수, 근로 기간 관리, 건설현장신호수, 현장 작업능률 관리, 도로 시설물 복구작업 관련 기술, 건설공"
건설자재시험원,"건축재료시험, 안전진단 책임기술자, 건설재료시험, 건설재료시험기사, 건설자재시험"
건축 목공,"모듈러주택 제작, 목수, 목공 기술, 건축 구조에 대한 이해, 목공 교육 능력"
건축 석공,"석공, 석재 절단, 연마, 조각원"
건축가,"조경 설계, 기술능력, CAD능력, 건축디자인, 건축설계 기술, 기계설비현장 시공상세도 작성능력, 건축도면설계, 시공관리, 건축설계, 건축설계 경력, 건축설계 포함"
건축공학 기술자,"건축적산, 안전관리, 건축시공, 건축분야 능력, 시공기사, 건축공정관리, 공사 현장 관리, 건축공무담당, 현장 관리, 건축대관업무, 건축 설계, 철구조물공사, 건축견적, 건축시공기술개발, 공사관리"
건축구조기술자,"역량강화를 위한 교육제도, 퇴직금 처리, 건축 기술, 자격증 취득, 성과급 관리, 건설, 장기근속자 포상 등, 안전진단, 상해보험, 생산능력"
건축설비기술자,"기획, 제안, 태양광 시스템 설계, 연구"
건축시공기술자 및 견적원,"건축/토목사업부, 건축공정관리, 건축견적원, 건축시공 기술, 공무 업무능력, 건축시공기술개발 및 연구, 건축공정관리기사, 시공 경험, 시공능력, 건축시공기사, 건설현장 관리, 건설 현장 소장, 건설 기술, 현장 관리, 건축공무담당자, 건축대관업무, 건축공무 관리, 공무포함, 대리급 현장실무자, 건축견적, 건축적산, 건축 및 건설 관련 기술, 건축시공, 실내건축, 자재관리"
건축안전·환경·품질·에너지관리기술자,"건설현장안전관리, 안전관리, 안전감시능력, 에너지관리, 건축안전기사, 건설현장 안전 관리, 건축안전 기술, 안전감시, 환경 관리, 품질관리, 건축안전, 품질 관리, 건설현장안전 관리, 현장안전 관리, 건축안전기술, 건설재해예방지도기관 건설안전 지도위원, 에너지 관리, 환경관리"
경리 사무원,"사무 보조, 통계 분석, 경리 업무, 사무 업무, 회계지식, 경영지원, 매입매출 관리, 장부 정리, 4대 보험 경리, 급여 관리, 세무, 캐드 (컴퓨터 지원 설계도구), 급여지급, 세무 실무, 경리회계 업무 처리, 사무실 경리, 회계, 부가세 대리, 전표 정리, 재무관리, 세무신고 대리"
경비원,"보안 관련 역량, 경비 관련 역량, 경비교육, 대인관계능력, 계근 보조업무, 경비 업무 수행능력, 보안 역량, 경비 역량, 차량 관리, 출입통제, 경비원 역량, 경비 관리, 감시력, 경비 장비 관리, 통제능력, 경계감, 보안요원, 상용직전환검토, 경비원, 건물 관리 역량, 학력무관, 일상적 업무 수행, 경비요원 관련 역량"
경비원(건물 관리원),"환경미화, 빌딩 관리, 상황 대처 능력, 경비 역량, 전기안전관리, 건물 시설 관리 관련 역량, 시설관리, 경비 관리, 제초, 건물 보수 및 영상 원 관련 역량, 쓰레기 수거, 야간 관리, 주차 관리, 근로계약 관리, 조경관리, 건물 관리, 분리수거, 건물 관리 역량, 보안"
경영기획사무원,"경영 전략 수립, 사무업무 관리, 기획·전략, 기획능력, 회계·세무·재무, 사업계획 수립 및 문제해결 전략 수립, 경영 관련 분석 및 보고자료 작성, 경영평가, 사무 업무 관리, 중장기 경영 전략 및 계획 수립, 경영지원, 경영혁신, 경영전략, 기획, 분석력, 경영 평가 분석, 전략기획, 경영 기획, 기업지원, 대학기획, 문화지원, 사업 기획, 신규프로젝트 수립"
경영지원관리자,"총무·법무·사무, 구내식당(사원식당), 기획·전략, 서류심사 및 시험 자료 준비 능력, 환경, 프리젠테이션 능력, 블라인드 채용 절차 및 방법에 대한 이해, 엑셀 고급 능력, 노무, 법무, 재무, 구매, 자재, 영업, 세무, 안전, 인사·노무·HRD, 직무능력향상교육, 의료, 컴퓨터 활용 능력, 기타, 4대 보험, 서류 제작 및 편집 능력, 회계, 문서작성 능력, 물류, 점심식사 제공, 사무, 무역, 총무, 판매, 인사, 야간교통비지급, 운전 면허 소지 및 운전 능력., HRD"
계기검침원 및 가스점검원,"가스검침원, 도시가스 계량기 검침, 도시가스 안전점검원, 가스보일러 및 가스렌지 안전점검, 가스안전점검원, 고지서 송달"
고객 상담원 및 모니터 요원,"재택근무, 고객응대, 고객상담, 화상교사모니터링"
고객상담원,"문장 이해 및 기본 글쓰기 능력, 표준어 사용, 기본 PC 활용 능력, 적절한 커뮤니케이션 능력, CS업무 경력, 고객 서비스 마인드, 밝은 음성 보유"
고무·플라스틱 제품 조립원,"세심한 주의력, 좌식 작업, 포장, 품질 검사, 플라스틱 제품 조립, 고무제품 조립, 검사, 생산 조립, 생산 라인 작업, 플라스틱 제품 검사, 단순생산업무, 검사능력, 호스 조립, 자동차 프라스틱 부품 조립, 고무제품, PVC파이프 조립, 조립 기술"
고무·플라스틱 화학공학기술자 및 연구원,"고무화학기술, 고분자연구, 재료개발"
공업 배관공,"용접 기술, 생산직 직무 경험"
